"unit","na_item","geo","time","values"
"CP_MEUR","B1GQ","AT",2018-01-01,385711.9
"CP_MEUR","B1GQ","CZ",2018-01-01,207772.4
"CP_MEUR","B1GQ","SK",2018-01-01,89721
"CP_MEUR","B1GQ","AT",2017-01-01,370295.8
"CP_MEUR","B1GQ","CZ",2017-01-01,191721.8
"CP_MEUR","B1GQ","SK",2017-01-01,84517
"CP_MEUR","B1GQ","AT",2016-01-01,357299.7
"CP_MEUR","B1GQ","CZ",2016-01-01,176370.1
"CP_MEUR","B1GQ","SK",2016-01-01,81038.4
"CP_MEUR","B1GQ","AT",2015-01-01,344269.2
"CP_MEUR","B1GQ","CZ",2015-01-01,168473.3
"CP_MEUR","B1GQ","SK",2015-01-01,79758.2
"CP_MEUR","B1GQ","AT",2014-01-01,333146.1
"CP_MEUR","B1GQ","CZ",2014-01-01,156660
"CP_MEUR","B1GQ","SK",2014-01-01,76255.9
"CP_MEUR","B1GQ","AT",2013-01-01,323910.2
"CP_MEUR","B1GQ","CZ",2013-01-01,157741.6
"CP_MEUR","B1GQ","SK",2013-01-01,74354.8
"CP_MEUR","B1GQ","AT",2012-01-01,318653
"CP_MEUR","B1GQ","CZ",2012-01-01,161434.3
"CP_MEUR","B1GQ","SK",2012-01-01,73483.8
"CP_MEUR","B1GQ","AT",2011-01-01,310128.7
"CP_MEUR","B1GQ","CZ",2011-01-01,164040.5
"CP_MEUR","B1GQ","SK",2011-01-01,71214.4
"CP_MEUR","B1GQ","AT",2010-01-01,295896.6
"CP_MEUR","B1GQ","CZ",2010-01-01,156718.2
"CP_MEUR","B1GQ","SK",2010-01-01,68093
"CP_MEUR","B1GQ","AT",2009-01-01,288044
"CP_MEUR","B1GQ","CZ",2009-01-01,148682
"CP_MEUR","B1GQ","SK",2009-01-01,64095.5
"CP_MEUR","B1GQ","AT",2008-01-01,293761.9
"CP_MEUR","B1GQ","CZ",2008-01-01,161313.1
"CP_MEUR","B1GQ","SK",2008-01-01,66098.1
"CP_MEUR","B1GQ","AT",2007-01-01,283978
"CP_MEUR","B1GQ","CZ",2007-01-01,138302.9
"CP_MEUR","B1GQ","SK",2007-01-01,56339.3
"CP_MEUR","B1GQ","AT",2006-01-01,267824.5
"CP_MEUR","B1GQ","CZ",2006-01-01,123943.2
"CP_MEUR","B1GQ","SK",2006-01-01,45602
"CP_MEUR","B1GQ","AT",2005-01-01,254075
"CP_MEUR","B1GQ","CZ",2005-01-01,109627.7
"CP_MEUR","B1GQ","SK",2005-01-01,39403.4
"CP_MEUR","B1GQ","AT",2004-01-01,242348.3
"CP_MEUR","B1GQ","CZ",2004-01-01,96028.5
"CP_MEUR","B1GQ","SK",2004-01-01,34757.7
"CP_MEUR","B1GQ","AT",2003-01-01,231862.5
"CP_MEUR","B1GQ","CZ",2003-01-01,88249.1
"CP_MEUR","B1GQ","SK",2003-01-01,30119.1
"CP_MEUR","B1GQ","AT",2002-01-01,226735.2
"CP_MEUR","B1GQ","CZ",2002-01-01,87055.1
"CP_MEUR","B1GQ","SK",2002-01-01,26340.7
"CP_MEUR","B1GQ","AT",2001-01-01,220525.1
"CP_MEUR","B1GQ","CZ",2001-01-01,75387.7
"CP_MEUR","B1GQ","SK",2001-01-01,23909.8
"CP_MEUR","B1GQ","AT",2000-01-01,213606.5
"CP_MEUR","B1GQ","CZ",2000-01-01,66838.8
"CP_MEUR","B1GQ","SK",2000-01-01,22389.1
"CP_MEUR","B1GQ","AT",1999-01-01,203850.6
"CP_MEUR","B1GQ","CZ",1999-01-01,60796.5
"CP_MEUR","B1GQ","SK",1999-01-01,19516.1
"CP_MEUR","B1GQ","AT",1998-01-01,195011.9
"CP_MEUR","B1GQ","CZ",1998-01-01,59540.9
"CP_MEUR","B1GQ","SK",1998-01-01,20333.8
"CP_MEUR","B1GQ","AT",1997-01-01,187853.7
"CP_MEUR","B1GQ","CZ",1997-01-01,54515
"CP_MEUR","B1GQ","SK",1997-01-01,19331.1
"CP_MEUR","B1GQ","AT",1996-01-01,186968.1
"CP_MEUR","B1GQ","CZ",1996-01-01,52771.3
"CP_MEUR","B1GQ","SK",1996-01-01,17053.2
"CP_MEUR","B1GQ","AT",1995-01-01,184351.3
"CP_MEUR","B1GQ","CZ",1995-01-01,45724.2
"CP_MEUR","B1GQ","SK",1995-01-01,15322.9
