"time","stock","ret"
1969-01-01,"ge",-0.011984
1969-01-01,"ibm",-0.059524
1969-01-01,"mobil",-0.014043
1969-01-01,"crsp",-0.006714
1969-02-01,"ge",-0.060377
1969-02-01,"ibm",-0.007004
1969-02-01,"mobil",-0.078431
1969-02-01,"crsp",-0.053641
1969-03-01,"ge",0.066474
1969-03-01,"ibm",0.070303
1969-03-01,"mobil",0.21513
1969-03-01,"crsp",0.030505
1969-04-01,"ge",0.059621
1969-04-01,"ibm",0.044586
1969-04-01,"mobil",0.029961
1969-04-01,"crsp",0.020528
1969-05-01,"ge",-0.035806
1969-05-01,"ibm",-0.025
1969-05-01,"mobil",0.026667
1969-05-01,"crsp",0.005038
1969-06-01,"ge",-0.038196
1969-06-01,"ibm",0.058777
1969-06-01,"mobil",-0.12987
1969-06-01,"crsp",-0.067388
1969-07-01,"ge",-0.043056
1969-07-01,"ibm",-0.03923
1969-07-01,"mobil",-0.060981
1969-07-01,"crsp",-0.065173
1969-08-01,"ge",-0.027576
1969-08-01,"ibm",0.066256
1969-08-01,"mobil",0.107798
1969-08-01,"crsp",0.051488
1969-09-01,"ge",0.022687
1969-09-01,"ibm",0.000725
1969-09-01,"mobil",-0.10352
1969-09-01,"crsp",-0.02259
1969-10-01,"ge",-0.010294
1969-10-01,"ibm",0.044171
1969-10-01,"mobil",-0.044342
1969-10-01,"crsp",0.055647
1969-11-01,"ge",-0.047548
1969-11-01,"ibm",-0.006935
1969-11-01,"mobil",-0.05379
1969-11-01,"crsp",-0.032166
1969-12-01,"ge",-0.024649
1969-12-01,"ibm",0.021008
1969-12-01,"mobil",-0.049096
1969-12-01,"crsp",-0.019683
1970-01-01,"ge",-0.066129
1970-01-01,"ibm",-0.080247
1970-01-01,"mobil",-0.147283
1970-01-01,"crsp",-0.073252
1970-02-01,"ge",-0.025907
1970-02-01,"ibm",0.018494
1970-02-01,"mobil",0.097087
1970-02-01,"crsp",0.056708
1970-03-01,"ge",0.055319
1970-03-01,"ibm",-0.005143
1970-03-01,"mobil",0.017699
1970-03-01,"crsp",-0.004729
1970-04-01,"ge",-0.033898
1970-04-01,"ibm",-0.119645
1970-04-01,"mobil",-0.035362
1970-04-01,"crsp",-0.105318
1970-05-01,"ge",-0.068421
1970-05-01,"ibm",-0.063087
1970-05-01,"mobil",0.073171
1970-05-01,"crsp",-0.064346
1970-06-01,"ge",0.026742
1970-06-01,"ibm",-0.100719
1970-06-01,"mobil",-0.005682
1970-06-01,"crsp",-0.051075
1970-07-01,"ge",0.138889
1970-07-01,"ibm",0.0138
1970-07-01,"mobil",0.082286
1970-07-01,"crsp",0.074191
1970-08-01,"ge",0.021138
1970-08-01,"ibm",0.0555
1970-08-01,"mobil",0.064171
1970-08-01,"crsp",0.050047
1970-09-01,"ge",0.083121
1970-09-01,"ibm",0.095775
1970-09-01,"mobil",0.042714
1970-09-01,"crsp",0.04751
1970-10-01,"ge",0.019259
1970-10-01,"ibm",0.011825
1970-10-01,"mobil",0.042892
1970-10-01,"crsp",-0.018181
1970-11-01,"ge",0.027616
1970-11-01,"ibm",0.045068
1970-11-01,"mobil",0.065421
1970-11-01,"crsp",0.05045
1970-12-01,"ge",0.06959
1970-12-01,"ibm",0.034174
1970-12-01,"mobil",0.008772
1970-12-01,"crsp",0.060713
1971-01-01,"ge",0.057257
1971-01-01,"ibm",0.02439
1971-01-01,"mobil",-0.076522
1971-01-01,"crsp",0.05203
1971-02-01,"ge",0.089421
1971-02-01,"ibm",0.037788
1971-02-01,"mobil",0.038095
1971-02-01,"crsp",0.016899
1971-03-01,"ge",0.04185
1971-03-01,"ibm",0.062407
1971-03-01,"mobil",0.013761
1971-03-01,"crsp",0.044788
1971-04-01,"ge",0.097098
1971-04-01,"ibm",0.000699
1971-04-01,"mobil",0.068326
1971-04-01,"crsp",0.033326
1971-05-01,"ge",-0.024415
1971-05-01,"ibm",-0.08232
1971-05-01,"mobil",-0.070664
1971-05-01,"crsp",-0.036386
1971-06-01,"ge",0.019395
1971-06-01,"ibm",-0.030581
1971-06-01,"mobil",0.02765
1971-06-01,"crsp",0.00313
1971-07-01,"ge",-0.121399
1971-07-01,"ibm",-0.08123
1971-07-01,"mobil",-0.055605
1971-07-01,"crsp",-0.04027
1971-08-01,"ge",0.161592
1971-08-01,"ibm",0.04824
1971-08-01,"mobil",-0.057692
1971-08-01,"crsp",0.042502
1971-09-01,"ge",-0.002419
1971-09-01,"ibm",-0.000822
1971-09-01,"mobil",-0.007653
1971-09-01,"crsp",-0.005016
1971-10-01,"ge",-0.052846
1971-10-01,"ibm",-0.0107
1971-10-01,"mobil",0.02365
1971-10-01,"crsp",-0.040671
1971-11-01,"ge",0.025751
1971-11-01,"ibm",0.020965
1971-11-01,"mobil",0.015267
