"geo","time","gender","values"
"AT",2010,"F",4.6
"AT",2010,"M",5
"AT",2010,"T",4.8
"AT",2011,"F",4.6
"AT",2011,"M",4.6
"AT",2011,"T",4.6
"AT",2012,"F",4.8
"AT",2012,"M",5
"AT",2012,"T",4.9
"AT",2013,"F",5.3
"AT",2013,"M",5.4
"AT",2013,"T",5.4
"AT",2014,"F",5.4
"AT",2014,"M",5.9
"AT",2014,"T",5.6
"AT",2015,"F",5.3
"AT",2015,"M",6.1
"AT",2015,"T",5.7
"AT",2016,"F",5.6
"AT",2016,"M",6.5
"AT",2016,"T",6
"AT",2017,"F",5
"AT",2017,"M",5.9
"AT",2017,"T",5.5
"AT",2018,"F",4.7
"AT",2018,"M",5
"AT",2018,"T",4.9
"AT",2019,"F",4.4
"AT",2019,"M",4.6
"AT",2019,"T",4.5
"AT",2020,"F",5.2
"AT",2020,"M",5.5
"AT",2020,"T",5.4
"CZ",2010,"F",8.5
"CZ",2010,"M",6.4
"CZ",2010,"T",7.3
"CZ",2011,"F",7.9
"CZ",2011,"M",5.8
"CZ",2011,"T",6.7
"CZ",2012,"F",8.2
"CZ",2012,"M",6
"CZ",2012,"T",7
"CZ",2013,"F",8.3
"CZ",2013,"M",5.9
"CZ",2013,"T",7
"CZ",2014,"F",7.4
"CZ",2014,"M",5.1
"CZ",2014,"T",6.1
"CZ",2015,"F",6.1
"CZ",2015,"M",4.2
"CZ",2015,"T",5.1
"CZ",2016,"F",4.7
"CZ",2016,"M",3.4
"CZ",2016,"T",4
"CZ",2017,"F",3.6
"CZ",2017,"M",2.3
"CZ",2017,"T",2.9
"CZ",2018,"F",2.8
"CZ",2018,"M",1.8
"CZ",2018,"T",2.2
"CZ",2019,"F",2.4
"CZ",2019,"M",1.7
"CZ",2019,"T",2
"CZ",2020,"F",3
"CZ",2020,"M",2.2
"CZ",2020,"T",2.6
"PL",2010,"F",10
"PL",2010,"M",9.4
"PL",2010,"T",9.7
"PL",2011,"F",10.4
"PL",2011,"M",9
"PL",2011,"T",9.7
"PL",2012,"F",10.9
"PL",2012,"M",9.4
"PL",2012,"T",10.1
"PL",2013,"F",11.1
"PL",2013,"M",9.7
"PL",2013,"T",10.3
"PL",2014,"F",9.6
"PL",2014,"M",8.5
"PL",2014,"T",9
"PL",2015,"F",7.7
"PL",2015,"M",7.3
"PL",2015,"T",7.5
"PL",2016,"F",6.2
"PL",2016,"M",6.1
"PL",2016,"T",6.2
"PL",2017,"F",4.9
"PL",2017,"M",4.9
"PL",2017,"T",4.9
"PL",2018,"F",3.9
"PL",2018,"M",3.9
"PL",2018,"T",3.9
"PL",2019,"F",3.6
"PL",2019,"M",3
"PL",2019,"T",3.3
"PL",2020,"F",3.3
"PL",2020,"M",3.1
"PL",2020,"T",3.2
"SK",2010,"F",14.6
"SK",2010,"M",14.2
"SK",2010,"T",14.4
"SK",2011,"F",13.6
"SK",2011,"M",13.6
"SK",2011,"T",13.6
"SK",2012,"F",14.5
"SK",2012,"M",13.5
"SK",2012,"T",14
"SK",2013,"F",14.5
"SK",2013,"M",14
"SK",2013,"T",14.2
"SK",2014,"F",13.6
"SK",2014,"M",12.8
"SK",2014,"T",13.2
"SK",2015,"F",12.9
"SK",2015,"M",10.3
"SK",2015,"T",11.5
"SK",2016,"F",10.8
"SK",2016,"M",8.8
"SK",2016,"T",9.7
"SK",2017,"F",8.4
"SK",2017,"M",7.9
"SK",2017,"T",8.1
"SK",2018,"F",7
"SK",2018,"M",6.1
"SK",2018,"T",6.5
"SK",2019,"F",6
"SK",2019,"M",5.6
"SK",2019,"T",5.8
"SK",2020,"F",7.1
"SK",2020,"M",6.4
"SK",2020,"T",6.7
