"iso2c","country","NY.GDP.PCAP.KD","year"
"CA","Canada",50279.5858384833,2015
"CA","Canada",50309.1598956693,2014
"CA","Canada",49400.4583023845,2013
"CA","Canada",48788.3330342366,2012
"CA","Canada",48466.8509143277,2011
"CA","Canada",47450.3184700703,2010
"CA","Canada",46542.9048681129,2009
"CA","Canada",48497.5601666358,2008
"CA","Canada",48536.5394134496,2007
"CA","Canada",48014.9311967848,2006
"CA","Canada",47257.4721965916,2005
"CA","Canada",46225.3608685198,2004
"CA","Canada",45261.3380639101,2003
"CA","Canada",44863.2160183574,2002
"CA","Canada",44025.5405175941,2001
"CA","Canada",43724.161759206,2000
"CA","Canada",41960.2375445554,1999
"CA","Canada",40226.6250882006,1998
"CA","Canada",39039.9851410969,1997
"CA","Canada",37811.7132349717,1996
"CA","Canada",37600.3301219658,1995
"CA","Canada",36995.5021536655,1994
"CA","Canada",35794.0946582376,1993
"CA","Canada",35251.6408091221,1992
"CA","Canada",35353.0202367289,1991
"CA","Canada",36557.63290815,1990
"CA","Canada",37052.3845744415,1989
"CA","Canada",36868.807700778,1988
"CA","Canada",35772.3057848903,1987
"CA","Canada",34828.6334913562,1986
"CA","Canada",34438.3324000338,1985
"CA","Canada",33182.4100945097,1984
"CA","Canada",31628.1613684896,1983
"CA","Canada",31132.4629484683,1982
"CA","Canada",32542.600239534,1981
"CA","Canada",31839.2336333694,1980
"CA","Canada",31571.9446577539,1979
"CA","Canada",30744.9656739007,1978
"CA","Canada",29949.3596336108,1977
"CA","Canada",29294.7065004013,1976
"CA","Canada",28034.6612577856,1975
"CA","Canada",28037.117551862,1974
"CA","Canada",27528.2510366164,1973
"CA","Canada",26083.8566474628,1972
"CA","Canada",25010.4194968072,1971
"CA","Canada",24775.1179580582,1970
"CA","Canada",24424.2526267071,1969
"CA","Canada",23569.4514924729,1968
"CA","Canada",22813.1389002354,1967
"CA","Canada",22530.8683855016,1966
"CA","Canada",21512.12394076,1965
"CA","Canada",20603.6042435402,1964
"CA","Canada",19687.9651219039,1963
"CA","Canada",19039.6253426197,1962
"CA","Canada",18056.304588282,1961
"CA","Canada",NA,1960
"MX","Mexico",10037.2014904097,2015
"MX","Mexico",9839.050190896,2014
"MX","Mexico",9693.72296894468,2013
"MX","Mexico",9690.86906453233,2012
"MX","Mexico",9477.88718509023,2011
"MX","Mexico",9271.39823324639,2010
"MX","Mexico",8947.74147387305,2009
"MX","Mexico",9587.63633933012,2008
"MX","Mexico",9622.04795699136,2007
"MX","Mexico",9547.33357068323,2006
"MX","Mexico",9270.65654228665,2005
"MX","Mexico",9190.74159228825,2004
"MX","Mexico",8967.02919031783,2003
"MX","Mexico",8960.55408647201,2002
"MX","Mexico",9088.05331877876,2001
"MX","Mexico",9253.96804618644,2000
"MX","Mexico",8946.13287719935,1999
"MX","Mexico",8835.87554348668,1998
"MX","Mexico",8530.35508532051,1997
"MX","Mexico",8109.19869834691,1996
"MX","Mexico",7717.72153127439,1995
"MX","Mexico",8373.51352854788,1994
"MX","Mexico",8117.08981623173,1993
"MX","Mexico",8104.29107732218,1992
"MX","Mexico",7970.14439521028,1991
"MX","Mexico",7790.79967323082,1990
"MX","Mexico",7548.97667178617,1989
"MX","Mexico",7393.10828092979,1988
"MX","Mexico",7445.85369014963,1987
"MX","Mexico",7470.79268275293,1986
"MX","Mexico",7872.01771604416,1985
"MX","Mexico",7872.45769659001,1984
"MX","Mexico",7784.85918968501,1983
"MX","Mexico",8253.44620942392,1982
"MX","Mexico",8494.01210071256,1981
