"ID","x","y","depth_m","visual.depth.cm","elec.cond.muS","pH","LOI550","LOI990","LOI","C","N","Ca.mg.g","Fe.mg.g","K.mg.g","Pb.mug.g","Mg.mg.g","Mn.mug.g","Na.mg.g","PO4.mg.g","S.mg.g","Sr.mug.g","Zi.mug.g"
"10a",391829,5794052,0.68,34,305,7.19,1.04,0.2,98.51,0.85,NA,9.83,0.52,0.22,1.37,0.15,15.39,0.26,0.3,0.77,7.87,11.46
"11a",391824,5794187,0.66,28,274,7.33,1.27,0.19,98.29,0.93,NA,3.78,0.42,0.13,1.81,0.13,12.02,0.22,0.37,0.43,6.77,17.41
"12a",391184,5795337,1.93,15,680,7.25,27.32,17.46,32.99,19,1.18,172.12,4.73,0.34,18.49,1.41,481.61,0.54,4.83,8.24,238.28,84.19
"13b",391312,5795462,3.98,15,825,7.22,36.93,18.25,21.6,24.4,1.85,182.74,8.58,0.43,34.19,1.47,454.44,0.7,4.93,17.18,261.05,94.92
"14b",391729,5795736,4.95,18,903,7.05,38.33,15.5,26.44,23.7,1.89,193.42,10.12,0.5,31,1.42,546.69,0.88,5.31,20.03,245.53,98.52
"15b",391892,5795771,0.93,20,416,7.31,2.33,0.08,97.49,1.79,NA,4.22,0.81,0.14,4.14,0.2,61.32,0.32,1.18,1.26,8.78,30.3
"16a",391430,5795473,3.92,18,1060,6.82,37.79,17.67,22.06,24.7,1.94,175.28,8.07,0.55,30.92,1.46,479.68,0.74,5.34,17.21,261.54,87.9
"17a",391846,5795878,8.4,18,1278,7.02,36.74,16.42,25.94,23.1,1.82,187.53,9.26,0.64,28.96,1.45,653.76,0.72,5.97,17.07,257.63,90.17
"18a",391795,5795837,5.15,15,795,6.99,34.88,17.11,26.24,22.8,1.75,184.5,11.15,0.41,31.03,1.35,540.76,0.63,4.83,19.56,249.9,93.12
"19a",391625,5795648,4,15,910,7.01,41.28,14.11,26.64,25.4,2.09,155.66,11.53,0.52,34.69,1.44,492.47,0.82,5.51,20.51,228.16,100.81
"20b",391461,5795562,2.97,18,690,7.17,30.01,14.76,36.45,19.6,1.47,150.42,5.31,0.32,20.02,1.24,344.23,0.57,5.26,9.57,183.41,58.13
