"OBS","Q","X","P","G"
1963,155385,379212.128036,0.369285528847701,0.388759676942019
1964,161358,405934.234104,0.37572607283184,0.394322616029771
1965,169269,436171.561234,0.384753441799739,0.401141849248385
1966,174606,471368.954644,0.405163722037043,0.412419739218766
1967,179328,496863.092886,0.403746209627052,0.422420732108061
1968,185036,545714.725434,0.418278790343501,0.439681205834864
1969,187976,591206.76653,0.439039831201856,0.459555938580959
1970,192614,632131.329588,0.462124267810232,0.48029733466654
1971,193006,685725.146962,0.471337126255142,0.501576757712274
1972,194204,752398.88001,0.497890635105353,0.520194112070056
1973,186513,832352.33707,0.577302307399484,0.574519879891964
1974,183111,910673.189318,0.668952828011425,0.634757896418569
1975,188207,1005437.56494,0.714099435355752,0.685396944759916
1976,199261,1123620.68265,0.7237428795399,0.72552413740668
1977,205585,1250754.009028,0.753265088503539,0.773324402613374
1978,202052,1393873.006508,0.835336900649338,0.828008610237352
1979,204581,1549307.82848,0.919920064815403,0.903517143283693
1980,204542,1711661.641694,1,0.999999790667784
1981,201449,1895378.882082,1.0816235820977,1.09127818811602
1982,201133,2024198.028558,1.11736290996505,1.15628154103884
1983,204832,2207199.37274,1.13271759085494,1.20925269933746
1984,208603,2407034.820414,1.17859786446024,1.25723398964873
1985,213900,2603584.977224,1.19853989368864,1.30397664949991
1986,216483,2774281.541596,1.22815784796035,1.33584306139728
1987,215630,2969222.18702,1.28353036673932,1.38979119915636
1988,218899,3211440.095776,1.34004040443309,1.44624284893584
1989,219327,3442326.1608,1.43102185321461,1.51544184935065
1990,222720,3673862.858,1.51596611889368,1.59115936268094
1991,222198,3814636.366648,1.55941628187472,1.65394892112275
1992,222720,4035736.84342,1.57963856860632,1.70208056368858
