educ,ne,nc,west,south,exper,motheduc,fatheduc,brkhme14,sibs,urban,ne18,nc18,south18,west18,urban18,tuit17,tuit18,lwage,expersq
15,0,0,1,0,9,12,12,0,1,1,1,0,0,0,1,7.582914,7.260242,2.486508,81
13,1,0,0,0,8,12,10,1,4,1,1,0,0,0,1,8.595144,9.499537,2.187472,64
15,1,0,0,0,11,12,16,0,2,1,1,0,0,0,1,7.311346,7.311346,2.741764,121
15,1,0,0,0,6,12,12,0,1,1,1,0,0,0,1,9.499537,10.16207,2.590267,36
13,1,0,0,0,15,12,15,1,2,1,1,0,0,0,1,7.311346,7.311346,2.404249,225
18,1,0,0,0,8,12,12,0,2,1,1,0,0,0,1,7.311346,7.311346,2.861201,64
13,1,0,0,0,13,13,12,0,5,1,1,0,0,0,1,7.394907,7.394907,3.049133,169
12,0,0,0,1,14,12,12,1,4,0,1,0,0,0,1,7.394907,7.394907,2.456773,196
13,1,0,0,0,9,10,12,1,3,1,1,0,0,0,1,6.641155,5.851309,2.830924,81
12,1,0,0,0,9,14,12,0,1,1,1,0,0,0,1,5.851309,6.053333,2.445686,81
12,1,0,0,0,13,9,10,1,2,1,1,0,0,0,1,7.394907,7.394907,2.695628,169
12,1,0,0,0,14,12,16,0,1,0,1,0,0,0,1,7.394907,7.394907,3.030094,196
17,0,0,1,0,4,17,16,0,1,1,1,0,0,0,1,5.851309,6.053333,3.356329,16
13,1,0,0,0,8,16,16,0,3,1,1,0,0,0,1,6.053333,6.125471,2.525729,64
17,1,0,0,0,7,16,18,0,2,1,1,0,0,0,1,7.394907,7.394907,3.579933,49
16,1,0,0,0,10,5,4,0,2,1,1,0,0,0,1,7.394907,7.394907,3.152874,100
16,1,0,0,0,10,10,6,0,1,1,1,0,0,0,1,7.394907,7.394907,2.811897,100
15,1,0,0,0,9,12,9,0,1,1,1,0,0,0,1,7.394907,6.641155,2.775403,81
15,1,0,0,0,8,11,9,0,2,1,1,0,0,0,1,6.641155,5.851309,2.486508,64
20,1,0,0,0,6,11,8,0,2,1,0,0,0,1,1,7.394907,7.394907,2.144158,36
14,1,0,0,0,11,10,12,0,2,0,1,0,0,0,1,7.582914,7.582914,2.782158,121
15,1,0,0,0,8,16,12,0,2,1,1,0,0,0,1,6.641155,5.851309,2.671448,64
