annearn,hrearn,exper,age,depends,married,tenure,educ,nrtheast,nrthcen,south,male,white,union,office,annhrs,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,vacdays,sicklve,insur,pension,annbens,hrbens,annhrssq,beratio,lannhrs,tenuresq,expersq,lannearn,peratio,vserat
15000,7.81,14,36,2,1,15,18,1,0,0,1,1,0,1,1920,1,0,0,0,0,0,0,0,0,974.8,421,617.81,1367.8,3381.41,1.76,3686400,0.225427,7.560081,225,196,9.615806,0.091187,0.093053
6500,5,7,23,0,0,8,10,0,0,1,1,1,0,0,1300,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1690000,0,7.17012,64,49,8.779557,0,0
6908.99,2.35,22,38,3,1,0.5,6,0,0,1,1,1,0,0,2940,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8643600,0,7.986165,0.25,484,8.840579,0,0
5512.5,4.5,2,18,0,0,0.5,12,0,0,1,1,1,0,0,1225,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1500625,0,7.110696,0.25,4,8.614774,0,0
7800,3.75,19,35,0,0,2,12,0,0,1,1,0,0,0,2080,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4326400,0,7.640123,4,361,8.961879,0,0
9187.5,3.75,24,40,3,1,8,13,1,0,0,1,1,0,0,2450,0,1,0,0,0,0,0,0,0,343.3,107.93,473.31,503.96,1428.5,0.58,6002500,0.155483,7.803843,64,576,9.125599,0.054853,0.049113
8880,4.63,42,58,0,1,8,12,1,0,0,1,1,1,0,1920,0,1,0,0,0,0,0,0,0,343.3,107.93,473.31,503.96,1428.5,0.74,3686400,0.160867,7.560081,64,1764,9.091557,0.056752,0.050814
8532.69,3.72,21,37,1,1,0.5,13,0,1,0,1,1,0,0,2295,0,1,0,0,0,0,0,0,0,343.3,107.93,473.31,503.96,1428.5,0.62,5267025,0.167415,7.738488,0.25,441,9.05166,0.059062,0.052882
8225,5,22,37,5,0,15,10,1,0,0,1,1,1,0,1645,0,1,0,0,0,0,0,0,0,203.4,84.01,261.99,0,549.4,0.33,2706025,0.066796,7.405496,225,484,9.014934,0,0.034944
8916,4.55,40,59,0,1,8,6,0,0,1,1,1,1,0,1960,0,1,0,0,0,0,0,0,0,30.93,0,465.29,494.64,990.86,0.51,3841600,0.111133,7.5807,64,1600,9.095603,0.055478,0.003469
