pH	Biomass	Species
2	0.469297221	30
2	1.730870426	39
2	2.089778481	44
2	3.925787136	35
2	4.366792653	25
2	5.481974683	29
2	6.68468591	23
2	7.511650634	18
2	8.132202505	19
2	9.572128635	12
2	0.086653665	39
2	1.236973905	35
2	2.532043235	30
2	3.407941525	30
2	4.605045962	33
2	5.367717087	20
2	6.560842148	26
2	7.242062143	36
2	8.503632993	18
2	9.390953422	7
2	0.76488801	39
2	1.176470196	39
2	2.325120818	34
2	3.222882069	31
2	4.136129299	24
2	5.137176521	25
2	6.421938112	20
2	7.065526382	21
2	8.745929177	12
2	9.981770129	11
1	0.175762697	29
1	1.376778303	30
1	2.551042556	21
1	3.00027434	18
1	4.905623865	13
1	5.343305425	13
1	7.7	9
1	0.553688929	24
1	1.990296437	26
1	2.91263671	26
1	3.216451335	20
1	4.979884675	21
1	5.658722899	15
1	8.1	8
1	0.739569861	31
1	1.526934202	28
1	2.232122387	18
1	3.885288176	16
1	4.626505411	19
1	5.120968439	20
1	8.3	6
1	0.511278577	25
1	1.478232688	23
1	2.934558004	25
1	3.50548891	22
1	4.617909137	15
1	5.696963821	11
1	6.093016876	17
1	0.730062798	24
1	1.158068376	27
0	0.100847904	18
0	0.138596089	19
0	0.863515079	15
0	1.292919034	19
0	2.46916355	12
0	2.366553089	11
0	2.629217082	15
0	3.252286524	9
0	4.417276192	3
0	4.780810391	2
0	0.050175289	18
0	0.482836915	19
0	0.652667143	13
0	1.555336555	9
0	1.671638196	8
0	2.870053904	14
0	2.510720525	13
0	3.497603852	4
0	3.678761859	8
0	4.831542449	2
0	0.289722659	17
0	0.077560095	14
0	1.429020407	15
0	1.120740925	17
0	1.507953837	9
0	2.325963179	8
0	2.995705821	12
0	3.538199085	14
0	4.364541206	7
0	4.870507888	3
