"row","id","region","corp","school","class","gender","age","race","geread","gevocab","gereadcm","gelang","gelangmc","gelangcm","gemath","gemathcp","gemathcm","getotal","npanverb","npamem","npaverb","npatotal","csi","multi","clenroll","classize","ptratio","ptia","locale","chapter1","ses","context","calender","senroll","sattend","white1","black1","hispanc1","asian1","aindian1","multi1","total1","noteach","avgage1","avgexp1","avgsal1","spert","thrdclss","thrdstud","passla1","passmth1","passbth1","tmnnce1","rmdnce1","lamdnce1","mmdnce1","tmdnce1","avgcsi1","geog","totepp","cenroll","cattend","freelnch","lep","speced","minority","white2","black2","hispanc2","asian2","aindian2","multi2","total2","thrdadm","thrdtech","avgage2","avgexp2","avgsal2","thrdaide","passla2","passmth2","passbth2","tmnnce2","rmdnce2","lamdnce2","mmdnce2","tmdnce2","rmediate"
"1",1,2,940,767,1,2,104,5,3.5,3.1,3.2,2.3,4.3,3,3.1,2.7,2.9,3,16,56,46,26,90,2,16,1,16,2,7,1,80.4,929,1,463,95.6,99.8,0,0,0,0,0.2,0.2,28.5,46.2,20.6,43517,16.3,4,60,63,74,52,60.5,57.6,55,61,59.7,99,2,5956,3115,95.9,16,0.2,14.4,1.2,3077,1,12,3,1,21,38,208,11,45.2,18.4,41096,3,67,70,52,59.4,57.8,59.8,60.6,60.8,18
"2",2,2,940,767,1,2,106,5,1.2,2.8,2,1.8,1.7,1.6,3.2,4.3,3.8,2.7,39,79,37,47,99,2,16,1,16,2,7,1,80.4,929,1,463,95.6,99.8,0,0,0,0,0.2,0.2,28.5,46.2,20.6,43517,16.3,4,60,63,74,52,60.5,57.6,55,61,59.7,99,2,5956,3115,95.9,16,0.2,14.4,1.2,3077,1,12,3,1,21,38,208,11,45.2,18.4,41096,3,67,70,52,59.4,57.8,59.8,60.6,60.8,18
"3",3,2,940,767,1,2,112,5,2.1,1.7,1.9,2.5,2.2,2.4,3.6,3.2,3.4,2.7,37,41,34,35,94,2,16,1,16,2,7,1,80.4,929,1,463,95.6,99.8,0,0,0,0,0.2,0.2,28.5,46.2,20.6,43517,16.3,4,60,63,74,52,60.5,57.6,55,61,59.7,99,2,5956,3115,95.9,16,0.2,14.4,1.2,3077,1,12,3,1,21,38,208,11,45.2,18.4,41096,3,67,70,52,59.4,57.8,59.8,60.6,60.8,18
"4",4,2,940,767,1,2,109,5,1.6,2.1,1.9,1.9,1.6,1.6,3.3,3.2,3.2,2.3,45,56,23,39,95,2,16,1,16,2,7,1,80.4,929,1,463,95.6,99.8,0,0,0,0,0.2,0.2,28.5,46.2,20.6,43517,16.3,4,60,63,74,52,60.5,57.6,55,61,59.7,99,2,5956,3115,95.9,16,0.2,14.4,1.2,3077,1,12,3,1,21,38,208,11,45.2,18.4,41096,3,67,70,52,59.4,57.8,59.8,60.6,60.8,18
"5",5,2,940,767,1,1,107,5,3.7,2.4,2.8,2.1,1.7,1.9,3.2,2.9,3,2.7,50,71,24,45,98,2,16,1,16,2,7,1,80.4,929,1,463,95.6,99.8,0,0,0,0,0.2,0.2,28.5,46.2,20.6,43517,16.3,4,60,63,74,52,60.5,57.6,55,61,59.7,99,2,5956,3115,95.9,16,0.2,14.4,1.2,3077,1,12,3,1,21,38,208,11,45.2,18.4,41096,3,67,70,52,59.4,57.8,59.8,60.6,60.8,18
"6",6,2,940,767,1,1,108,5,2.4,2.4,2.3,2,2.9,2.3,5.5,4.1,4.7,3.4,48,89,50,60,104,2,16,1,16,2,7,1,80.4,929,1,463,95.6,99.8,0,0,0,0,0.2,0.2,28.5,46.2,20.6,43517,16.3,4,60,63,74,52,60.5,57.6,55,61,59.7,99,2,5956,3115,95.9,16,0.2,14.4,1.2,3077,1,12,3,1,21,38,208,11,45.2,18.4,41096,3,67,70,52,59.4,57.8,59.8,60.6,60.8,18
"7",7,2,940,767,1,1,101,5,3.1,3.3,3.1,3.7,1.7,2.7,3,3.1,3.1,3,16,29,41,21,87,2,16,1,16,2,7,1,80.4,929,1,463,95.6,99.8,0,0,0,0,0.2,0.2,28.5,46.2,20.6,43517,16.3,4,60,63,74,52,60.5,57.6,55,61,59.7,99,2,5956,3115,95.9,16,0.2,14.4,1.2,3077,1,12,3,1,21,38,208,11,45.2,18.4,41096,3,67,70,52,59.4,57.8,59.8,60.6,60.8,18
"8",8,2,940,767,1,2,103,5,2.9,3.2,3,2.8,2.7,2.7,3.4,4,3.8,3.3,34,31,36,32,93,2,16,1,16,2,7,1,80.4,929,1,463,95.6,99.8,0,0,0,0,0.2,0.2,28.5,46.2,20.6,43517,16.3,4,60,63,74,52,60.5,57.6,55,61,59.7,99,2,5956,3115,95.9,16,0.2,14.4,1.2,3077,1,12,3,1,21,38,208,11,45.2,18.4,41096,3,67,70,52,59.4,57.8,59.8,60.6,60.8,18
"9",9,2,940,767,1,1,104,5,4.9,9.3,7.2,4.4,6.6,5.3,4.4,5.5,5.1,6.3,94,38,33,75,111,2,16,1,16,2,7,1,80.4,929,1,463,95.6,99.8,0,0,0,0,0.2,0.2,28.5,46.2,20.6,43517,16.3,4,60,63,74,52,60.5,57.6,55,61,59.7,99,2,5956,3115,95.9,16,0.2,14.4,1.2,3077,1,12,3,1,21,38,208,11,45.2,18.4,41096,3,67,70,52,59.4,57.8,59.8,60.6,60.8,18
"10",10,2,940,767,1,2,110,5,5,5.4,5.2,4.4,4.5,4.4,6.2,3.8,4.7,4.9,86,66,96,92,123,2,16,1,16,2,7,1,80.4,929,1,463,95.6,99.8,0,0,0,0,0.2,0.2,28.5,46.2,20.6,43517,16.3,4,60,63,74,52,60.5,57.6,55,61,59.7,99,2,5956,3115,95.9,16,0.2,14.4,1.2,3077,1,12,3,1,21,38,208,11,45.2,18.4,41096,3,67,70,52,59.4,57.8,59.8,60.6,60.8,18
