Farm	Length	infect
AL	216	0
AL	208	0
AL	206	1
AL	204	0
AL	200	0
AL	199	1
AL	197	1
AL	196	1
AL	196	0
AL	192	1
AL	191	0
AL	190	0
AL	180	0
AL	178	1
AU	195	1
AU	190	1
AU	188	1
AU	185	1
AU	185	1
AU	184	1
AU	184	1
AU	184	1
AU	180	1
AU	180	0
AU	178	1
AU	176	1
AU	175	1
AU	175	1
AU	174	1
AU	174	1
AU	173	1
AU	173	1
AU	172	1
AU	170	1
AU	170	1
AU	170	0
AU	169	1
AU	169	1
AU	169	1
AU	167	1
AU	161	1
AU	160	1
AU	158	1
AU	155	0
AU	153	1
AU	153	0
BA	202	1
BA	187	1
BA	187	1
BA	187	1
BA	186	1
BA	185	1
BA	183	1
BA	182	1
BA	181	1
BA	180	1
BA	178	1
BA	178	1
BA	177	1
BA	176	1
BA	175	1
BA	173	1
BA	170	1
BA	170	1
BA	169	1
BA	159	1
BA	159	1
BA	132	0
BE	180	1
BE	175	1
BE	170.5	1
BE	166.6	1
BE	165	1
BE	162	1
BE	160	1
BE	158	1
BE	158	1
BE	156	1
BE	154	1
BE	145	1
CB	197	1
CB	190	1
CB	189	1
CB	187	1
CB	183	1
CB	179	0
CB	177	1
CB	170	0
CB	169.8	1
CB	169.5	1
CB	165	0
CB	163.5	1
CB	160	1
CB	158	1
CB	157	1
CB	156.5	0
CB	156	0
CB	154	1
CB	151.5	1
CB	151	1
CB	150	0
CB	148	1
CB	148	1
CB	147	1
CB	137.5	1
CB	130.5	1
CB	121.5	0
HB	172	0
HB	170	0
HB	165	0
HB	163	0
HB	163	0
HB	162	1
HB	159	0
HB	159	0
HB	153	0
HB	152	0
HB	149.8	0
HB	145	0
HB	143	0
HB	142	0
LN	199	1
LN	198	1
LN	191	1
LN	190	1
LN	190	1
LN	189	1
LN	189	1
LN	184	1
LN	184	1
LN	182	1
LN	181	1
LN	181	1
LN	181	1
LN	179	1
LN	178	1
LN	178	1
LN	177	1
LN	176	1
LN	175	1
LN	174	1
LN	174	1
LN	172	1
LN	170	1
LN	166	1
LN	163	0
LN	160	1
LN	145	1
LN	118	0
LN	103	0
MAN	199	1
MAN	199	0
MAN	190	0
MAN	188	1
MAN	187	0
MAN	187	0
MAN	182	0
MAN	181	1
MAN	180	0
MAN	178	0
MAN	176	0
MAN	174	0
MAN	174	0
MAN	173	1
MAN	172	1
MAN	171	1
MAN	170	0
MAN	168	1
MAN	128	1
MB	190	1
MB	184	0
MB	182	0
MB	181.9	1
MB	181.5	1
